Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
oranges,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
pickle,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
salami,6.55,6,16 SCHOOL - Stories Expanded - Hungry Caterpillar,1173.33,694.29,"(5, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Hungry Caterpillar,Regular,1
I need a repeat prescription,4.55,4,07 DAILY LIFE - medical phrases TEEN,106.67,694.29,"(5, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - medical with core - TEEN -> 07 DAILY LIFE - medical phrases TEEN,WordList,1
ch,4.55,4,18 SPELLING - abc phonics keyboard,746.67,848.57,"(6, 4)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 18 SPELLING - Keyboards Index -> 18 SPELLING - abc phonics keyboard,Regular,1
which level?,4.55,4,08 LEISURE ACTIVITIES - gaming phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Gaming TEEN -> 08 LEISURE ACTIVITIES - gaming phrases TEEN,WordList,1
um,2.55,2,09 CHAT - words with core - TEEN,960.0,1157.14,"(8, 5)",01 CORE - Home - TEEN ADULT -> 09 CHAT - words with core - TEEN,Regular,1
What shall we do?,4.55,4,08 LEISURE ACTIVITIES - indoor phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Indoor Activities TEEN -> 08 LEISURE ACTIVITIES - indoor phrases TEEN,WordList,1
I just want to chill,4.55,4,08 LEISURE ACTIVITIES - indoor phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Indoor Activities TEEN -> 08 LEISURE ACTIVITIES - indoor phrases TEEN,WordList,1
shapes,5.55,5,16 SCHOOL - Shapes Expanded,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Shapes Core -> 16 SCHOOL - Shapes Expanded,Regular,1
It's too hot,4.55,4,07 DAILY LIFE - eat & drink phrases TEEN,960.0,385.71,"(3, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - eat & drink core TEEN -> 07 DAILY LIFE - eat & drink phrases TEEN,WordList,1
It's too cold,4.55,4,07 DAILY LIFE - eat & drink phrases TEEN,960.0,540.0,"(4, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - eat & drink core TEEN -> 07 DAILY LIFE - eat & drink phrases TEEN,WordList,1
Please read my meal time plan,4.55,4,07 DAILY LIFE - eat & drink phrases TEEN,960.0,694.29,"(5, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - eat & drink core TEEN -> 07 DAILY LIFE - eat & drink phrases TEEN,WordList,1
Please chop it up into bite size pieces,4.55,4,07 DAILY LIFE - eat & drink phrases TEEN,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - eat & drink core TEEN -> 07 DAILY LIFE - eat & drink phrases TEEN,WordList,1
treatment,3.55,3,15 TOPICS - Health TEEN,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Health TEEN,Regular,1
Imam,3.55,3,15 TOPICS - Religion,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Religion,Regular,1
Priest,3.55,3,15 TOPICS - Religion,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Religion,Regular,2
Granthi,3.55,3,15 TOPICS - Religion,533.33,694.29,"(5, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Religion,Regular,1
Monk,3.55,3,15 TOPICS - Religion,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Religion,Regular,1
Rabbi,3.55,3,15 TOPICS - Religion,533.33,231.43,"(2, 3)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Religion,Regular,1
Can you read it for me?,5.55,5,07 DAILY LIFE - learning phrases TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Learning core - TEEN -> 07 DAILY LIFE - learning phrases TEEN,WordList,1
This is easy,5.55,5,07 DAILY LIFE - learning phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Learning core - TEEN -> 07 DAILY LIFE - learning phrases TEEN,WordList,1
This is difficult,5.55,5,07 DAILY LIFE - learning phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Learning core - TEEN -> 07 DAILY LIFE - learning phrases TEEN,WordList,1
Can you write it down?,5.55,5,07 DAILY LIFE - learning phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Learning core - TEEN -> 07 DAILY LIFE - learning phrases TEEN,WordList,1
bowls,3.55,3,15 TOPICS - Sports,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Sports,Regular,1
lecture,4.55,4,16 EDUCATION - college expanded TEEN,106.67,1157.14,"(8, 1)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 EDUCATION - College core TEEN -> 16 EDUCATION - college expanded TEEN,Regular,1
outdoors,4.55,4,12 PLACES - Outside,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Outside -> 12 PLACES - Outside,Regular,1
Yesterday I ....,3.55,3,10 NEWS - Expanded TEEN,106.67,1002.86,"(7, 1)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 10 NEWS - Expanded TEEN,WordList,1
Do you remember ....,3.55,3,10 NEWS - Expanded TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 10 NEWS - Expanded TEEN,WordList,1
I need to log off,4.55,4,08 LEISURE ACTIVITIES - computer phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Computer TEEN -> 08 LEISURE ACTIVITIES - computer phrases TEEN,WordList,1
What are you having?,5.55,5,07 DAILY LIFE - eating out phrases TEEN,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - eating out with core - TEEN -> 07 DAILY LIFE - eating out phrases TEEN,WordList,1
Can I see the menu?,5.55,5,07 DAILY LIFE - eating out phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - eating out with core - TEEN -> 07 DAILY LIFE - eating out phrases TEEN,WordList,1
